image_path,snippet,highlight,similarity_score
C:\DataSet Creation\images_final\img_0.jpg,,"From Mahatma Gandhi’s support for Palestine to Modi’s Netanyahu embrace, we trace how India’s ties have evolved over the decades.",0.0
C:\DataSet Creation\images_final\img_1.jpg,,"The Indian subcontinent is undergoing profound political, economic and ideological churns. Afghanistan has returned to Taliban rule, Pakistan is trapped in economic collapse and civil–military dysfunction, Bangladesh is plummeting into Islamist mobilization, Nepal, Sri Lanka and the Maldives are facing political and economic fragility, and Myanmar’s junta is involved in civil war. These developments directly affect India’s internal security, border stability, trade routes and regional influence. Yet, the Indian response is reactive and episodic.",0.0
C:\DataSet Creation\images_final\img_2.jpg,,"With India and the United States weeks away from finalising the trade deal, farm politics is again intensifying in western Uttar Pradesh. The Tikait faction of the Bharatiya Kisan Union (BKU) has sought clarity on the impact of the deal on Indian farmers. Having seen the National Democratic Alliance (NDA) government’s U-turn on farm laws, khaps in the region are discussing the direct and indirect impact of the deal. Rakesh Tikait, BKU spokesperson, has described the deal as a unilateral U.S. declaration and threatened agitation. A panchayat scheduled for Sunday on this issue has been put on hold in view of Prime Minister Nardenra Modi’s visit to Meerut to inaugurate the final leg of the Delhi-Meerut Namo Bharat corridor.",0.0
C:\DataSet Creation\images_final\img_3.jpg,,"On Monday, after six months of rancor and wrangling, the United States and India at last announced an initial agreement on a trade deal. The agreement came just one week after India and the European Union sealed a formal free trade agreement that had been under negotiation for well over a decade.",0.0
C:\DataSet Creation\images_final\img_4.jpg,,Indian Prime Minister Modi hailed the agreement on critical minerals and rare earths as a ‘major step towards building resilient supply chains’.,0.0
C:\DataSet Creation\images_final\img_5.jpg,,"Before Modi woke up all of a sudden to organise the AI Summit, he should have carefully scrutinised the prevailing academic environment, our intellectual capacities and institutional might.",0.0
C:\DataSet Creation\images_final\img_6.jpg,,"In a strategic move to bolster the Bahujan Samaj Party (BSP), Chief Mayawati convened an all-India meeting on Sunday, focusing on organizational strengthening and expanding the party's social base amid political turbulence.",0.0
C:\DataSet Creation\images_final\img_7.jpg,,"Prime Minister Narendra Modi on Sunday sharply criticised the Congress party over a protest staged by its youth wing during the India AI Impact Summit in the national capital. Speaking in Meerut, Uttar Pradesh, Modi accused the opposition party of using the global event to engage in “dirty and naked politics.”",0.0
C:\DataSet Creation\images_final\img_8.jpg,,This is the 18th in this year’s series of posts by PhD students on the job market.,0.0
C:\DataSet Creation\images_final\img_9.jpg,,"India's Prime Minister Narendra Modi, French President Emmanuel Macron and others struck a careful balance on artificial intelligence at the summit. Meanwhile, Microsoft cofounder Bill Gates canceled his appearance.",0.0
C:\DataSet Creation\images_final\img_10.jpg,,"On a charged evening in Basabo, home to Dhaka’s first Buddhist monastery, a candidate stood before a swelling crowd and fought back tears just days before Bangladesh went to polls. Habibur Rashid Habib of the Bangladesh Nationalist Party—his salt-and-pepper beard and sharp features lending him an air older than his fifty-odd years—recalled his arrest in 2014. He spoke of days of interrogation and torture. Yet, rather than vow vengeance against his political opponents, he called for the restoration of democratic rights, political unity and the secular spirit of the nation. “I came home injured,” he told the crowd, his voice wavering as he described the arrest. “The first call I received was from bhaiya (Tarique Rahman). At that moment, my pain vanished. I knew he was with me.”",0.0
C:\DataSet Creation\images_final\img_11.jpg,,"Congress leader P. Chidambaram on Saturday mounted a sharp attack on US President Donald Trump, accusing him of indulging in the “weaponisation of tariffs” and asserting that such actions must be unequivocally condemned.",0.0
C:\DataSet Creation\images_final\img_12.jpg,,"Washington, Feb 22 (IANS) In a decisive signal to the world, the United States and India have unveiled a new AI partnership that rejects what they call the “paralysis of fear” and instead backs a pro-growth, pro-entrepreneurship model to lead the artificial intelligence race.",0.0
C:\DataSet Creation\images_final\img_13.jpg,,"Prime Minister Narendra Modi on Sunday launched a strong criticism of the Opposition, labelling their approach as ""toxic politics"" and contrasting this with the BJP, which he claimed prioritises India's development and focuses on the path of 'Aatmabirbharta' (self-reliance).",0.0
C:\DataSet Creation\images_final\img_14.jpg,,"A crowd crush at a rally for a popular Indian actor-turned-politician in the southern state of Tamil Nadu has killed at least 39 people and injured 40, the southern state’s chief minister, MK Stalin, told reporters in Karur, the district where the incident occurred on Saturday.",0.0
C:\DataSet Creation\images_final\img_15.jpg,,"Meerut: Prime Minister Narendra Modi on Sunday launched a very pointed attack on Congress over its ""shirtless"" protest at the recent India AI Impact Summit and accused the party of turning a global platform into an arena for ""dirty and naked politics""",0.0
C:\DataSet Creation\images_final\img_16.jpg,,"This Sunday's lineup of national news is brimming with major political events. Prime Minister Narendra Modi is set to address the nation with his 'Mann Ki Baat', while political briefings continue across the Northern and National Capital Region.",0.0
C:\DataSet Creation\images_final\img_17.jpg,,"PM Modi accused the Rahul Gandhi-led party of turning a global platform into an arena for ""dirty and naked politics."" On February 20, cadres of the Indian Youth Congress staged a 'shirtless' protest stunt against Modi, accusing him of being ""compromised"" over India-US deal.",0.0
C:\DataSet Creation\images_final\img_18.jpg,,"The Congress on Saturday, 21 February, demanded that Prime Minister Narendra Modi put the India-US interim trade agreement on hold and renegotiate the terms of the deal.",0.0
C:\DataSet Creation\images_final\img_19.jpg,,"1989 School of Arts and Sciences graduate Eswaran Sridharan, director of the Center for the Advanced Study of India in New Delhi, led a seminar at CASI’s Penn campus counterpart this week discussing the power of political coalitions and proportional representation in India.",0.0
C:\DataSet Creation\images_final\img_20.jpg,,"Shillong, Feb 21: Meghalaya Chief Minister Conrad K Sangma today criticised the Indian Youth Congress’ “shirtless” protest at the AI Impact Summit, saying “it’s not a platform to play politics”.",0.0
C:\DataSet Creation\images_final\img_21.jpg,,"A social media post by Karnataka Chief Minister Siddaramaiah has sparked a fresh political storm, with the veteran Congress leader alleging that he is being “targeted” because of his caste and social background. The remarks come amid a simmering leadership tussle within the ruling party between Siddaramaiah and his deputy, DK Shivakumar.",0.0
C:\DataSet Creation\images_final\img_22.jpg,,"In a dramatic turn of events, political tensions reached a boiling point across India as workers from the Bharatiya Janata Party (BJP) and Congress clashed over a controversial protest by the Indian Youth Congress. The protest, staged shirtless at the India AI Impact Summit, was directed against Prime Minister Narendra Modi, heavily criticizing his stance on the India-US trade deal framework.",0.0
C:\DataSet Creation\images_final\img_23.jpg,,"PM Modi hit out at the Congress over its youth wing's ""shirtless"" protest during the recent India AI Impact Summit.",0.0
C:\DataSet Creation\images_final\img_24.jpg,,"Earlier this year, I spoke with Ramachandra Guha on his book, Speaking with Nature (Yale University Press, 2024). We discuss the origins of Indian environmentalism and how Indian thinkers played a crucial role in the conversations shaping humanity’s relationship with nature, notably through “livelihood environmentalism.”",0.0
C:\DataSet Creation\images_final\img_25.jpg,,"Pawar, 66, was a key political figure and served as the second-highest elected official in Maharashtra, India’s wealthiest state.",0.0
C:\DataSet Creation\images_final\img_26.jpg,,"Prime Minister Narendra Modi sharply criticised the Congress party over its “shirtless” protest during the India AI Impact Summit, accusing the party of transforming a global event into a platform for “dirty and naked politics”.",0.0
C:\DataSet Creation\images_final\img_27.jpg,,Book Review | The politics beneath the soil: The Dig shows why Keeladi still ignites Tamil pride,0.0
C:\DataSet Creation\images_final\img_28.jpg,,"This muted engagement may also reflect a deeper generational trait: as sociologist Dipankar Gupta notes, youth energy is fleeting, and each generation tends to forge its own causes rather than inherit old ones. Recent history shows a pattern: youth can topple regimes, but lasting change or improved prospects for young people can often remain elusive, from the Arab Spring to Bangladesh, or perhaps Nepal.",0.0
C:\DataSet Creation\images_final\img_29.jpg,,"Delhi Assembly Speaker Vijender Gupta on Saturday called for a shift in political culture from individual ambition to collective responsibility, saying India’s journey towards becoming a developed nation by 2047 would become “unstoppable” when leaders start playing for the “National Team”.",0.0
C:\DataSet Creation\images_final\img_30.jpg,,The India-Pakistan rivalry turned the Asia Cup into a battlefield for nationalist politics. Is there hope for change?,0.0
C:\DataSet Creation\images_final\img_31.jpg,,"In contrast to the party’s historical socialist policies, Rao and finance minister Manmohan Singh embraced economic liberalization. By 1996 the party’s image was suffering from various reports of corruption, and in elections that year the Congress Party was reduced to 140 seats, its lowest number in the Lok Sabha to that point, becoming Parliament’s second largest party. Rao subsequently resigned as prime minister and, in September, as party president. He was succeeded as president by Sitaram Kesri, the party’s first non-Brahmin leader.",0.0
